Codigo;Provincia;distrito;name;poblacion;fecha;edad;sexo;numero_viajes;personas
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;65-100;hombre;0;229803.768
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;65-100;hombre;1;26436.643
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;65-100;hombre;2;141421.994
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;65-100;hombre;2+;269541.398
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;65-100;mujer;0;324019.653
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;65-100;mujer;1;39083.229
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;65-100;mujer;2;204736.083
28;Madrid                ;2807908 ;Fuencarral-El Pardo                           ;247327;202401;65-100;mujer;2+;383685.121
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;0-25;hombre;0;129980.221
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;0-25;hombre;1;17753.739
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;0-25;hombre;2;84485.25
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;0-25;hombre;2+;198793.161
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;0-25;mujer;0;102186.636
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;0-25;mujer;1;18461.589
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;0-25;mujer;2;86808.444
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;0-25;mujer;2+;214596.9830000001
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;25-45;hombre;0;99043.638
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;25-45;hombre;1;16274.034
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;25-45;hombre;2;85742.644
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;25-45;hombre;2+;233918.462
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;25-45;mujer;0;98239.693
28;Madrid                ;2807909 ;Moncloa-Aravaca                               ;120589;202401;25-45;mujer;1;17231.522
