station_id;station_name;stop_lon;stop_lat;state;capacity;transport_mode
416;Ramírez Tomé;-3.645973936;40.38875618;IN_SERVICE    ;27;bicimad             
417;Romeo y Julieta, 13;-3.66217563;40.37873799;IN_SERVICE    ;27;bicimad             
418;Puerto de Arlabán;-3.6675;40.3864;IN_SERVICE    ;27;bicimad             
496;Cronos;-3.6194333;40.4384695;IN_SERVICE    ;27;bicimad             
501;Metro Alsacia;-3.6242;40.4191;IN_SERVICE    ;23;bicimad             
498;Metro Torre Arias;-3.6178317;40.4431335;IN_SERVICE    ;27;bicimad             
499;Biblioteca Pública Municipal Canillejas;-3.6121996;40.4466561;IN_SERVICE    ;23;bicimad             
500;Aracne, 17;-3.5895;40.445;IN_SERVICE    ;27;bicimad             
497;Metro Suances;-3.6274;40.4407;IN_SERVICE    ;23;bicimad             
265;Puerto Serrano;-3.688461;40.385412;IN_SERVICE    ;23;bicimad             
351;Comandante Fontanes;-3.7211209;40.3951415;IN_SERVICE    ;23;bicimad             
350;Ervigio;-3.7315;40.3947;IN_SERVICE    ;23;bicimad             
389;Julio Merino;-3.7032;40.3831;IN_SERVICE    ;23;bicimad             
390;Avena;-3.7159;40.3773;IN_SERVICE    ;23;bicimad             
556;Cantabria, 6;-3.58772201;40.45462514;IN_SERVICE    ;24;bicimad             
555;Parque del Capricho;-3.59812171;40.45476837;IN_SERVICE    ;27;bicimad             
485;Francisco Villaespesa;-3.6464629;40.4293263;IN_SERVICE    ;23;bicimad             
570;Uni. Autónoma Madrid;-3.6938;40.4815;IN_SERVICE    ;27;bicimad             
295;Hernani;-3.6972;40.4481;IN_SERVICE    ;23;bicimad             
296;Costa Verde;-3.696862;40.469477;IN_SERVICE    ;23;bicimad             
297;Simancas;-3.69511298;40.4655;IN_SERVICE    ;23;bicimad             
323;Centro Deportivo Municipal Gallur;-3.7359;40.3984;IN_SERVICE    ;23;bicimad             
324;Metro Lucero;-3.745096152;40.40457133;IN_SERVICE    ;23;bicimad             
457;Hacienda de Pavones, 148;-3.6419;40.4026;IN_SERVICE    ;23;bicimad             
432;Maquinilla;-3.636603598;40.38071154;IN_SERVICE    ;24;bicimad             
298;Marques de Viana;-3.704478;40.463643;IN_SERVICE    ;19;bicimad             
437;Metro Sierra de Guadalupe;-3.62376457;40.38135158;IN_SERVICE    ;27;bicimad             
358;Verdad;-3.71716;40.391787;IN_SERVICE    ;23;bicimad             
352;Algorta ;-3.72745169;40.39162262;IN_SERVICE    ;23;bicimad             
492;Metro La Almudena;-3.63949891;40.42466356;IN_SERVICE    ;24;bicimad             
322;Ps. Jesuitas;-3.7351;40.408;IN_SERVICE    ;27;bicimad             
392;Metro Almendrales;-3.697856;40.38268;IN_SERVICE    ;23;bicimad             
420;Candilejas, 5;-3.66300383;40.38263599;IN_SERVICE    ;22;bicimad             
